sid_id,menu_cate
301.0,갈비탕
302.0,뷔페
304.0,파스타
305.0,꼬치
306.0,떡볶이
307.0,파스타
307.0,스테이크
307.0,리조또
311.0,샐러드
312.0,케이크
313.0,떡볶이
313.0,분식
315.0,떡볶이
315.0,순대
315.0,튀김
315.0,어묵
317.0,한식
318.0,파스타
318.0,피자
318.0,스테이크
319.0,보쌈
320.0,나베
322.0,브런치
323.0,리조또
323.0,파스타
323.0,치킨
323.0,볶음밥
323.0,오뎅탕
323.0,탕
323.0,감자튀김
324.0,라멘
324.0,튀김
326.0,버거
327.0,치즈
327.0,베이글
328.0,샌드위치
328.0,파니니
328.0,파스타
329.0,돈가스
330.0,물회
330.0,알탕
331.0,닭볶음탕
333.0,브런치
334.0,돈가스
334.0,치즈
334.0,파스타
336.0,핫도그
338.0,피자
340.0,피자
340.0,감바스
341.0,한식
341.0,튀김
344.0,초밥
345.0,부대찌개
345.0,삼겹살
347.0,쌀국수
350.0,김치찌개
351.0,피자
351.0,토스트
353.0,떡갈비
353.0,불고기
353.0,잔치국수
353.0,보쌈
355.0,전골
355.0,육개장
358.0,커피
359.0,파니니
359.0,치즈
359.0,베이커리
361.0,돈가스
362.0,치즈
363.0,샤브샤브
366.0,볶음밥
366.0,파스타
366.0,피자
366.0,머핀
366.0,토스트
366.0,케이크
369.0,급식
371.0,과일
371.0,디저트
373.0,프렌치
374.0,초밥
375.0,커피
376.0,삼겹살
377.0,국수
377.0,덮밥
378.0,뷔페
378.0,일식
379.0,돈가스
380.0,커피
384.0,케이크
384.0,쿠키
385.0,삼겹살
386.0,덮밥
387.0,닭발
387.0,불닭
387.0,오돌뼈
388.0,초밥
388.0,회
389.0,쌀국수
390.0,일식
394.0,브런치
395.0,커피
395.0,베이커리
395.0,파스타
395.0,스테이크
395.0,볶음밥
395.0,샐러드
396.0,치즈
397.0,비빔밥
397.0,국수
397.0,양고기
399.0,감자튀김
399.0,버팔로윙
399.0,치킨
400.0,반찬
401.0,일식
402.0,토스트
402.0,커피
402.0,주스
404.0,샌드위치
404.0,케이크
404.0,커피
404.0,차
404.0,스무디
404.0,파니니
405.0,과일
409.0,샌드위치
410.0,치킨
411.0,샐러드
412.0,샐러드
412.0,로즈마리
412.0,과일
413.0,곱창
415.0,샐러드
415.0,에그베네딕트
416.0,커피
416.0,브런치
416.0,디저트
418.0,생선구이
418.0,삼계탕
420.0,커피
420.0,브런치
420.0,베이커리
424.0,쌀국수
424.0,볶음밥
425.0,김치찌개
425.0,찌개
426.0,스테이크
426.0,피자
426.0,파스타
426.0,샐러드
427.0,술집
428.0,갈비
429.0,치즈
430.0,돈가스
430.0,파스타
430.0,볶음밥
430.0,함박스테이크
430.0,우동
435.0,베이커리
437.0,주스
437.0,샌드위치
437.0,샐러드
438.0,피자
438.0,파스타
439.0,피자
441.0,덮밥
442.0,파스타
443.0,삼겹살
444.0,치킨
445.0,샐러드
445.0,샌드위치
446.0,김치찌개
446.0,찌개
446.0,불고기
447.0,스테이크
449.0,파스타
449.0,스테이크
449.0,스튜
450.0,분식
451.0,피자
452.0,반찬
453.0,연어
454.0,육회
455.0,삼겹살
456.0,파스타
459.0,토스트
459.0,떡볶이
459.0,분식
460.0,돈가스
460.0,볶음밥
462.0,반찬
463.0,카레
464.0,커피
465.0,볶음밥
467.0,샐러드
468.0,이자카야
469.0,회
469.0,덮밥
469.0,돈가스
470.0,샌드위치
470.0,샐러드
470.0,주스
471.0,마라탕
474.0,프렌치
475.0,연어
475.0,과일
476.0,치즈
477.0,볶음밥
477.0,버거
477.0,핫도그
477.0,파스타
477.0,커피
479.0,피자
480.0,감자튀김
480.0,치킨
480.0,퀘사디아
480.0,떡볶이
481.0,찌개
483.0,파스타
483.0,필라프
484.0,김밥
484.0,떡볶이
484.0,순대
484.0,어묵
485.0,반찬
487.0,샌드위치
488.0,피자
490.0,과일
491.0,스테이크
492.0,찌개
492.0,생선구이
498.0,돈가스
499.0,갈비
499.0,주꾸미
500.0,버거
501.0,이자카야
501.0,꽃게
504.0,돈가스
508.0,한식
509.0,버거
510.0,스테이크
513.0,삼겹살
517.0,고로케
520.0,커피
520.0,샌드위치
522.0,피자
522.0,파스타
523.0,삼겹살
524.0,떡볶이
525.0,돈가스
526.0,파스타
526.0,샐러드
528.0,과일
529.0,라멘
530.0,과일
530.0,치즈
532.0,샐러드
532.0,주스
532.0,스테이크
532.0,파스타
537.0,피자
537.0,파스타
537.0,튀김
537.0,과일
537.0,치즈
539.0,토스트
539.0,커피
539.0,주스
543.0,떡갈비
545.0,떡볶이
547.0,한식
552.0,돈가스
552.0,초밥
552.0,우동
553.0,피자
553.0,파스타
553.0,스테이크
554.0,타르트
556.0,버거
558.0,비빔밥
561.0,돈가스
563.0,짬뽕
563.0,탕수육
564.0,분식
565.0,짬뽕
565.0,탕수육
566.0,주꾸미
566.0,김치찌개
567.0,파스타
567.0,과일
567.0,꼬치
568.0,커피
568.0,주스
570.0,곰탕
571.0,찌개
576.0,닭발
577.0,떡볶이
577.0,치킨
577.0,피자
578.0,샐러드
579.0,과일
580.0,국밥
580.0,비빔밥
